employeeId,name_feedback,total_feedback_count,average_rating,name_engagement,department,total_quizzes_taken,total_score,average_score,total_time_spent,engagement_score
225,Melissa Galvan,8,4.8,Melissa Galvan,DATA SCIENCE,1,483,54.7,208,66.15
160,Mary Miller,6,2.44,Mary Miller,FULL STACK,8,209,20.52,402,56.211999999999996
85,Patricia Nelson,4,3.35,Patricia Nelson,FULL STACK,9,106,25.17,330,52.757000000000005
209,Daniel Lozano,5,1.15,Daniel Lozano,FULL STACK,2,271,52.1,319,41.03
180,Jon Hughes,5,3.45,Jon Hughes,DATA SCIENCE,8,40,45.01,185,49.601
65,Lisa Simpson DDS,8,3.4,Lisa Simpson DDS,DATA SCIENCE,1,93,72.95,216,46.935
176,Brett Gentry,4,5.0,Brett Gentry,DATA ENGINEERING,9,323,38.15,279,68.315
231,Heather Cruz,8,3.6,Heather Cruz,FULL STACK,5,454,45.78,286,68.858
5,Kylie Phillips,6,4.2,Kylie Phillips,DATA SCIENCE,7,409,72.96,457,75.59599999999999
44,Dawn Martinez,10,4.77,Dawn Martinez,DATA ENGINEERING,6,263,42.31,240,70.63099999999999
166,Frank Butler,3,3.89,Frank Butler,DATA SCIENCE,4,302,13.96,482,52.676
164,David Archer,3,2.28,David Archer,DATA SCIENCE,10,295,62.69,312,59.428999999999995
131,Christopher Mooney,5,3.8,Christopher Mooney,DATA SCIENCE,5,341,39.48,402,60.828
62,Joshua Wang,6,3.39,Joshua Wang,DATA ENGINEERING,5,355,31.08,468,62.228
184,Alexa Gardner,4,2.06,Alexa Gardner,DATA ENGINEERING,4,95,83.44,231,41.004
67,Brendan Washington,8,3.35,Brendan Washington,FULL STACK,6,94,97.24,248,59.844
155,Rose Taylor,7,3.23,Rose Taylor,FULL STACK,4,23,56.76,57,42.656000000000006
87,Melanie Hayes,8,3.77,Melanie Hayes,DATA ENGINEERING,7,221,71.88,288,66.86800000000001
12,Patricia Brooks,10,1.25,Patricia Brooks,FULL STACK,2,93,52.81,201,42.021
119,Elizabeth Williams,6,1.99,Elizabeth Williams,DATA ENGINEERING,7,363,5.4,279,54.6
49,Jennifer Miller,10,4.22,Jennifer Miller,FULL STACK,9,220,9.92,329,71.252
149,Jon Orr,4,4.54,Jon Orr,DATA ENGINEERING,6,415,12.04,356,63.08399999999999
134,Melissa Nunez,7,3.19,Melissa Nunez,DATA SCIENCE,2,320,56.48,233,53.867999999999995
25,Caroline Smith,1,4.27,Caroline Smith,DATA ENGINEERING,3,185,72.76,194,43.636
160,Mary Miller,3,1.2,Mary Miller,FULL STACK,10,341,91.1,114,55.83
14,Debbie Hickman,5,3.37,Debbie Hickman,DATA SCIENCE,4,94,4.94,256,40.854
226,Sandra Martin,4,4.02,Sandra Martin,DATA SCIENCE,10,275,14.66,231,61.166
12,Patricia Brooks,10,4.87,Patricia Brooks,FULL STACK,8,91,53.24,230,69.044
36,Michelle Fowler,10,3.37,Michelle Fowler,FULL STACK,2,263,97.64,349,64.744
58,Sierra Morrison,5,1.89,Sierra Morrison,DATA SCIENCE,3,426,99.02,73,51.962
195,Michael Carr,9,4.29,Michael Carr,DATA ENGINEERING,5,324,5.38,167,61.998
15,Elizabeth Ayala,2,3.44,Elizabeth Ayala,DATA SCIENCE,3,88,72.46,152,37.565999999999995
59,Justin Johnson,6,2.45,Justin Johnson,FULL STACK,6,432,54.89,115,58.869
140,Bryan Young,1,2.06,Bryan Young,DATA SCIENCE,2,413,29.06,193,37.525999999999996
3,Mary Cooper,5,3.48,Mary Cooper,FULL STACK,1,222,30.05,79,39.385
38,Kimberly Wilson,4,2.69,Kimberly Wilson,DATA ENGINEERING,2,95,67.63,354,40.403
203,Lauren Tanner,7,3.4,Lauren Tanner,DATA ENGINEERING,4,130,88.01,204,53.681
63,Jeffrey Barr,3,2.69,Jeffrey Barr,DATA SCIENCE,4,346,17.37,449,49.31700000000001
187,Jeffery Burch,10,2.61,Jeffery Burch,DATA SCIENCE,4,350,92.05,303,67.705
162,Bruce Brewer,1,3.43,Bruce Brewer,DATA ENGINEERING,2,257,65.81,87,38.321000000000005
125,Maureen Turner,1,4.77,Maureen Turner,DATA SCIENCE,2,18,7.93,463,35.852999999999994
147,Jennifer Cox,4,1.34,Jennifer Cox,DATA ENGINEERING,10,67,4.62,479,46.082
